City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,san patricio,28.017,-97.5169,17.69,91,100,5.33,US,1699923520
301,mumford,5.2618,-0.759,26.43,86,0,2.35,GH,1699923520
302,opuwo,-18.0607,13.84,23.82,27,27,1.36,NA,1699923520
303,chibougamau,49.9168,-74.3659,-4.21,86,100,4.12,CA,1699923276
304,ceeldheer,3.8488,47.1806,26.58,83,77,0.79,SO,1699923520
305,mahina,-17.5065,-149.489,28.87,74,20,4.63,PF,1699923520
306,chui,-33.6971,-53.4616,16.28,88,100,4.6,UY,1699923521
307,sao jose da coroa grande,-8.8978,-35.1478,25.3,85,100,3.2,BR,1699923521
308,ust'-ordynskiy,52.805,104.7508,-5.93,88,100,0.48,RU,1699923522
309,cheyenne,41.14,-104.8203,11.08,26,0,3.09,US,1699923522
310,damghan,36.1683,54.348,12.26,47,98,0.85,IR,1699923522
311,joshimath,30.5667,79.5667,9.91,28,100,2.95,IN,1699923522
312,toliara,-23.35,43.6667,21.06,84,9,4.51,MG,1699923522
313,kununurra,-15.7667,128.7333,31.99,66,99,1.03,AU,1699923468
314,port-vila,-17.7338,168.3219,24.78,73,100,8.23,VU,1699923523
315,whitehorse,60.7161,-135.0538,-4.43,85,100,7.72,CA,1699923362
316,rio san juan,19.6439,-70.0763,26.21,84,4,5.2,DO,1699923523
317,itoman,26.1247,127.6694,22.21,56,75,6.17,JP,1699923523
318,estes park,40.3772,-105.5217,6.56,37,9,3.48,US,1699923523
319,anzio,41.4853,12.6179,18.39,87,81,2.9,IT,1699923523
320,labasa,-16.4167,179.3833,29.37,73,100,6.12,FJ,1699923523
321,saint-joseph,-21.3667,55.6167,21.93,79,65,2.8,RE,1699923524
322,nagqu,31.5,92.0,-7.66,39,100,1.96,CN,1699923524
323,palmer,42.1584,-72.3287,4.17,71,100,0.0,US,1699923306
324,amqui,48.4638,-67.4313,-7.01,98,100,0.89,CA,1699923310
325,manga,11.6636,-1.0731,24.8,18,50,2.83,BF,1699923524
326,pathein,16.7833,94.7333,24.5,88,90,2.91,MM,1699923524
327,mahdia,35.5047,11.0622,16.97,63,6,3.16,TN,1699923524
328,ryotsu-minato,38.0833,138.4333,11.08,63,93,6.24,JP,1699923524
329,kyren,51.6828,102.1408,-6.14,85,100,0.45,RU,1699923525
330,quellon,-43.1167,-73.6167,4.84,78,84,3.58,CL,1699923525
331,menongue,-14.6585,17.691,18.76,71,14,2.01,AO,1699923525
332,usogorsk,63.4106,48.6872,-0.74,94,100,3.27,RU,1699923525
333,bich'vinta,43.1592,40.3378,24.1,59,100,6.76,GE,1699923525
334,kuta,-8.7233,115.1723,28.97,83,75,2.68,ID,1699923525
335,truth or consequences,33.1284,-107.2528,15.13,60,0,2.57,US,1699923525
336,saint-pierre,-21.3393,55.4781,23.09,64,61,2.57,RE,1699923326
337,elverum,60.8819,11.5623,-7.19,96,100,2.19,NO,1699923525
338,bokhan,53.153,103.7714,-7.69,88,100,1.15,RU,1699923526
339,kismayo,-0.3582,42.5454,26.99,80,100,3.28,SO,1699923526
340,gisborne,-38.6533,178.0042,21.25,37,92,5.53,NZ,1699923526
341,mount darwin,-16.7725,31.5838,19.89,62,5,3.85,ZW,1699923526
342,rawson,-43.3002,-65.1023,16.15,25,100,11.65,AR,1699923457
343,pacasmayo,-7.4006,-79.5714,19.98,82,17,7.01,PE,1699923526
344,gizo,-8.103,156.8419,27.81,75,100,3.93,SB,1699923526
345,warmbad,-28.45,18.7333,23.89,13,0,6.48,NA,1699923526
346,muli,2.9167,73.5667,27.52,73,100,0.88,MV,1699923526
347,alofi,-19.0595,-169.9187,25.94,89,100,5.66,NU,1699923390
348,changyon,38.2508,125.0961,6.7,63,99,0.47,KP,1699923527
349,new norfolk,-42.7826,147.0587,18.17,37,11,3.2,AU,1699923234
350,tasqala,51.1167,50.3167,5.05,94,100,3.21,KZ,1699923527
351,bridgewater,44.3835,-64.5155,0.82,86,9,3.09,CA,1699923527
352,shalkar,47.8288,59.6258,4.93,80,100,6.12,KZ,1699923527
353,isangel,-19.55,169.2667,26.06,69,75,3.09,VU,1699923527
354,orda,57.1951,56.9091,3.33,95,100,7.44,RU,1699923527
355,dhuusamarreeb,5.535,46.3861,24.5,85,14,2.59,SO,1699923527
356,ketchikan,55.3422,-131.6461,5.99,70,0,1.54,US,1699923287
357,murtajapur,20.7333,77.3833,18.85,52,100,1.87,IN,1699923528
358,takum,7.2667,9.9833,24.55,82,99,1.49,NG,1699923528
359,livingstonia,-10.606,34.1063,19.39,79,31,1.5,MW,1699923528
360,siwa oasis,29.2041,25.5195,20.13,47,0,3.76,EG,1699923528
361,micoud,13.8167,-60.9,27.99,81,1,1.79,LC,1699923528
362,kingscliff,-28.2667,153.5667,26.08,69,75,3.6,AU,1699923528
